Data,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CPLE6,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,JHSF3,KLBN11,LAME4,LCAM3,LREN3,MGLU3,MRFG3,MRVE3,MULT3,PETR3,PETR4,PRIO3,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VIVT3,VVAR3,WEGE3
2020-04-13,11.732393264770508,16.149999618530273,37.85897445678711,28.891298294067383,17.036540985107422,18.4301815032959,24.880596160888672,8.288084030151367,39.70555114746094,27.692541122436523,16.84910011291504,17.81999969482422,16.809999465942383,9.520000457763672,58.10354995727539,12.23389720916748,4.871273994445801,8.667990684509277,4.869999885559082,25.531208038330078,4.980321407318115,19.763105392456055,52.48236846923828,7.314723014831543,12.32604694366455,13.198408126831055,10.899999618530273,37.559200286865234,22.58898162841797,24.894439697265625,9.760000228881836,15.5620698928833,8.692500114440918,40.16096115112305,18.01346778869629,29.33937644958496,20.73944664001465,11.04075813293457,51.0,4.854461669921875,11.449999809265137,9.773720741271973,13.694028854370117,30.052003860473633,30.786880493164062,9.176562309265137,9.2407808303833,23.513187408447266,19.31342124938965,3.4146225452423096,16.200000762939453,20.469270706176758,12.107934951782227,35.388427734375,10.227686882019043,9.285609245300293,12.902156829833984,19.33054542541504,16.1099910736084,16.37812042236328,23.459999084472656,23.380329132080078,20.105504989624023,19.860000610351562,29.55612564086914,27.37935447692871,40.04587173461914,35.89514923095703,36.369998931884766,24.271005630493164,13.02224349975586,18.394380569458008,14.199602127075195,4.468395233154297,40.93739700317383,47.53184509277344,5.429999828338623,38.92140579223633
2020-04-14,11.722696304321289,16.350000381469727,38.0706901550293,28.862634658813477,17.4520263671875,18.631572723388672,24.928279876708984,8.433490753173828,39.9127082824707,27.618865966796875,17.036314010620117,18.860000610351562,21.6299991607666,9.710000038146973,59.29950714111328,12.644956588745117,4.753182888031006,9.088589668273926,4.960000038146973,26.16084098815918,5.15220832824707,19.390756607055664,52.874027252197266,7.424493789672852,13.436331748962402,13.33704662322998,10.899999618530273,38.50780487060547,23.530187606811523,25.747282028198242,9.619999885559082,16.11277198791504,9.192500114440918,40.37437438964844,17.964757919311523,28.80413055419922,21.769617080688477,11.365198135375977,56.06999969482422,5.001269817352295,11.460000038146973,10.550201416015625,13.713507652282715,30.86213493347168,31.31374740600586,10.580867767333984,9.347891807556152,23.807106018066406,19.64573860168457,3.423851251602173,16.489999771118164,20.79574966430664,13.049118995666504,35.408058166503906,10.651780128479004,9.394386291503906,12.999238967895508,19.232419967651367,15.998246192932129,16.184635162353516,23.690000534057617,25.1048641204834,19.882822036743164,20.09000015258789,30.291303634643555,27.292251586914062,40.58755111694336,39.00459289550781,38.0,24.720468521118164,12.91582202911377,18.182836532592773,13.779380798339844,4.725996494293213,40.90065383911133,46.77302169799805,6.090000152587891,38.56451416015625
2020-04-15,11.548165321350098,16.5,38.417137145996094,28.32761573791504,16.76382827758789,18.09318733215332,24.995033264160156,8.515280723571777,39.43920135498047,26.624256134033203,17.375078201293945,19.049999237060547,21.43000030517578,9.3100004196167,62.58838653564453,12.498148918151855,4.7335004806518555,9.189167022705078,5.25,26.26725959777832,5.045550346374512,19.018409729003906,54.58753967285156,7.274806499481201,13.64333438873291,13.142951965332031,10.6899995803833,37.88792037963867,22.72588539123535,25.55112648010254,9.279999732971191,16.2362060546875,9.25,39.84083557128906,17.8770751953125,28.645538330078125,21.847366333007812,11.119410514831543,54.7400016784668,4.913185119628906,12.279999732971191,10.36305046081543,14.083617210388184,30.042360305786133,30.637767791748047,10.4572172164917,9.055771827697754,22.925355911254883,20.290821075439453,3.423851251602173,16.1200008392334,21.30030632019043,12.813821792602539,35.10366439819336,10.88765811920166,9.394386291503906,13.047779083251953,18.68292236328125,15.476767539978027,15.84604549407959,23.5,24.589487075805664,20.34257698059082,19.950000762939453,29.92371368408203,26.05345344543457,39.65895462036133,38.502498626708984,37.22999954223633,24.6485538482666,12.51915454864502,18.642282485961914,13.86733341217041,4.656641960144043,39.66986846923828,46.80958557128906,6.320000171661377,37.672271728515625
2020-04-16,11.102140426635742,16.0,37.83010482788086,27.515522003173828,16.437374114990234,17.625415802001953,24.60403823852539,8.99693489074707,39.08407211303711,26.449277877807617,16.51925277709961,19.270000457763672,21.600000381469727,9.380000114440918,64.4720230102539,11.999006271362305,4.546522617340088,9.24402904510498,5.110000133514404,26.400279998779297,4.986491680145264,19.600801467895508,55.517730712890625,7.424493789672852,13.737425804138184,12.985827445983887,10.119999885559082,38.0381965637207,22.126934051513672,24.800626754760742,9.25,16.074792861938477,9.125,40.558692932128906,17.9257869720459,29.190698623657227,22.080612182617188,11.384860038757324,54.93000030517578,4.991482257843018,11.760000228881836,10.345130920410156,14.09335708618164,30.071290969848633,30.319660186767578,10.430721282958984,8.783123016357422,22.347328186035156,20.339691162109375,3.4146225452423096,15.9399995803833,22.131345748901367,12.558918952941895,35.005470275878906,11.314722061157227,9.285609245300293,12.960406303405762,18.44742202758789,15.020471572875977,15.207562446594238,22.5,24.79762077331543,20.897863388061523,19.350000381469727,29.36736488342285,25.04693031311035,40.103904724121094,37.304527282714844,36.18000030517578,24.27999496459961,12.809398651123047,19.197586059570312,13.886878967285156,4.508026123046875,39.2749137878418,45.163936614990234,6.409999847412109,37.682186126708984
2020-04-17,11.24758243560791,16.190000534057617,38.04182052612305,28.2607364654541,16.64912986755371,17.969629287719727,24.718477249145508,8.633420944213867,40.248111724853516,27.268911361694336,16.41227149963379,19.049999237060547,21.0,9.59000015258789,61.591758728027344,12.419851303100586,4.457954406738281,9.271458625793457,5.039999961853027,26.24065399169922,4.991780757904053,19.4766845703125,52.38445281982422,7.57418155670166,13.803291320800781,13.263106346130371,10.34000015258789,37.61554718017578,22.203941345214844,25.02236557006836,9.550000190734863,15.9513578414917,8.960000038146973,41.89738464355469,18.51032257080078,29.45831871032715,23.052471160888672,12.092727661132812,55.599998474121094,5.285099029541016,12.0,10.432735443115234,13.343399047851562,30.24489402770996,31.31374740600586,10.734171867370605,8.899972915649414,22.749008178710938,20.82839012145996,3.396165370941162,15.850000381469727,21.517959594726562,13.147157669067383,37.21449279785156,11.071395874023438,9.275720596313477,12.970113754272461,20.55710220336914,15.551265716552734,15.604194641113281,22.010000228881836,25.114776611328125,20.680923461914062,20.239999771118164,31.821264266967773,25.646974563598633,40.79068374633789,38.34395217895508,35.84000015258789,24.073244094848633,12.59655475616455,19.511594772338867,13.730517387390137,4.587287902832031,40.41385269165039,44.14912033081055,6.480000019073486,38.12830352783203
2020-04-20,11.257279396057129,16.68000030517578,39.06191635131836,27.69704818725586,16.252094268798828,17.387117385864258,25.033180236816406,8.633420944213867,39.31096267700195,26.559789657592773,16.644058227539062,18.920000076293945,20.889999389648438,10.149999618530273,64.44212341308594,12.860272407531738,4.330021381378174,9.198310852050781,5.090000152587891,26.62198257446289,5.008528709411621,19.180715560913086,55.312110900878906,7.304744243621826,13.699790000915527,14.43691349029541,10.920000076293945,38.160301208496094,21.990032196044922,24.911495208740234,9.199999809265137,16.321659088134766,9.175000190734863,43.35249710083008,18.792850494384766,32.77882385253906,23.888267517089844,11.650310516357422,57.540000915527344,5.089354515075684,12.069999694824219,10.765229225158691,14.06413745880127,30.25453758239746,32.60606002807617,10.74317741394043,8.73443603515625,22.180774688720703,20.867488861083984,3.4792232513427734,15.949999809265137,22.586437225341797,13.784419059753418,38.70307540893555,12.037256240844727,9.463607788085938,13.300191879272461,21.19491195678711,15.411581039428711,15.430063247680664,20.600000381469727,26.224821090698242,21.584508895874023,20.040000915527344,33.7784309387207,25.11467742919922,40.15227127075195,40.343505859375,34.91999816894531,24.136167526245117,12.403058052062988,19.508289337158203,13.877105712890625,4.626918792724609,38.999366760253906,44.07597351074219,6.590000152587891,38.76278305053711
2020-04-22,11.266975402832031,16.309999465942383,40.4284553527832,27.57284927368164,16.252094268798828,17.32533073425293,25.70073127746582,9.18777847290039,41.61930847167969,27.038677215576172,17.000652313232422,19.450000762939453,20.760000228881836,10.470000267028809,75.4947509765625,13.007079124450684,4.33986234664917,9.271458625793457,5.079999923706055,26.69292640686035,5.2042155265808105,20.00179100036621,58.01456069946289,7.324702262878418,13.97265625,14.834343910217285,11.260000228881836,38.535980224609375,22.820005416870117,25.559654235839844,8.970000267028809,16.663471221923828,9.085000038146973,45.29263687133789,18.97795295715332,35.23698806762695,23.567554473876953,11.502838134765625,56.849998474121094,5.059992790222168,11.899999618530273,10.613913536071777,14.999149322509766,32.50168991088867,34.395416259765625,9.95972728729248,8.724699974060059,21.9162540435791,21.307315826416016,4.051403522491455,16.530000686645508,24.901473999023438,14.696188926696777,40.61838150024414,12.551222801208496,10.21515941619873,14.173927307128906,22.76490592956543,15.97031021118164,16.2039852142334,19.809999465942383,27.850244522094727,22.096006393432617,20.770000457763672,36.26213455200195,24.582380294799805,42.24161911010742,41.92905807495117,35.209999084472656,24.891267776489258,13.041593551635742,19.931377410888672,14.072558403015137,4.7755351066589355,39.403507232666016,44.98108673095703,7.400000095367432,40.56708908081055
2020-04-23,11.199101448059082,16.3700008392334,39.69706726074219,26.798973083496094,15.784467697143555,17.078208923339844,24.9664249420166,9.169602394104004,40.05081558227539,27.07551383972168,16.314208984375,19.510000228881836,20.690000534057617,10.609999656677246,72.55469512939453,12.811336517333984,4.192248821258545,9.006298065185547,4.900000095367432,26.55103874206543,5.105490684509277,19.667634963989258,58.07331085205078,7.484368324279785,13.097600936889648,14.788131713867188,11.520000457763672,38.38570785522461,21.433862686157227,24.48507308959961,9.270000457763672,16.093782424926758,9.119999885559082,44.08974838256836,18.22779655456543,32.511199951171875,23.518962860107422,11.728961944580078,54.279998779296875,5.206801414489746,12.109999656677246,10.148024559020996,14.48294448852539,29.753026962280273,35.5783805847168,9.113240242004395,8.607850074768066,21.60274314880371,21.307315826416016,4.014488697052002,16.959999084472656,24.19904899597168,13.55892562866211,39.1496467590332,12.283066749572754,10.35360336303711,13.766183853149414,22.549030303955078,16.37026596069336,16.397907257080078,19.950000762939453,26.948333740234375,21.285964965820312,20.979999542236328,34.752044677734375,24.224292755126953,40.99381637573242,39.797367095947266,36.560001373291016,25.151952743530273,12.91582202911377,19.372770309448242,14.209375381469727,4.716088771820068,39.96379089355469,45.05422592163086,7.360000133514404,39.24856185913086
2020-04-24,10.772469520568848,13.989999771118164,35.60707092285156,23.216222763061523,14.055147171020508,15.745489120483398,23.268936157226562,9.205953598022461,36.84477615356445,27.342586517333984,15.101788520812988,18.549999237060547,18.93000030517578,9.300000190734863,68.44857788085938,11.783689498901367,4.015110969543457,8.000518798828125,4.610000133514404,24.78628921508789,4.660346984863281,19.085241317749023,54.96940612792969,7.065243721008301,11.281625747680664,12.948858261108398,10.319999694824219,35.90618133544922,18.63591194152832,21.261335372924805,8.279999732971191,15.201265335083008,8.632499694824219,41.19894027709961,17.477642059326172,28.447301864624023,22.459638595581055,10.74581527709961,52.040000915527344,4.746801853179932,10.670000076293945,9.954899787902832,12.934330940246582,28.942895889282227,32.148780822753906,8.167696952819824,8.179404258728027,20.45647430419922,21.053194046020508,3.6453404426574707,17.0,22.259960174560547,12.627546310424805,37.38319778442383,11.76413345336914,10.33382511138916,12.620619773864746,20.194040298461914,15.171290397644043,15.430477142333984,18.549999237060547,25.451753616333008,20.80630874633789,20.549999237060547,32.765071868896484,22.68547248840332,36.534603118896484,38.78437805175781,39.130001068115234,24.441802978515625,11.803221702575684,17.551511764526367,13.183250427246094,4.299963474273682,40.19341278076172,42.412044525146484,6.380000114440918,38.376155853271484
2020-04-27,11.257279396057129,14.109999656677246,37.753116607666016,24.544231414794922,14.513945579528809,16.204444885253906,24.12721824645996,10.205613136291504,39.61676788330078,27.904356002807617,16.269636154174805,20.559999465942383,21.489999771118164,9.550000190734863,74.93663787841797,12.047941207885742,4.044633865356445,8.064523696899414,4.599999904632568,26.311599731445312,4.769649505615234,19.218904495239258,57.88726806640625,7.234889984130859,11.629766464233398,13.416708946228027,10.779999732971191,37.65311813354492,19.072288513183594,21.994779586791992,7.659999847412109,15.732977867126465,9.092499732971191,43.26518630981445,18.20831298828125,30.033212661743164,22.741474151611328,11.129240989685059,54.790000915527344,4.922972202301025,10.920000076293945,10.490472793579102,13.30444049835205,28.28707504272461,33.64985275268555,8.518898010253906,8.442316055297852,21.132476806640625,22.851608276367188,3.7468559741973877,18.010000228881836,23.74395751953125,12.931469917297363,38.36566925048828,12.290514945983887,11.372152328491211,13.300191879272461,20.665037155151367,15.860464096069336,15.914192199707031,18.75,24.82735252380371,21.106840133666992,20.670000076293945,33.28168869018555,23.672639846801758,39.62993621826172,39.92622756958008,40.099998474121094,25.27780532836914,12.141839981079102,19.316577911376953,13.98460578918457,4.299963474273682,40.91902542114258,43.417720794677734,7.570000171661377,40.24985122680664
