,Ativo_Independente,Ativo_Dependente,CoefAng -100p,Inters -100p,med_res -100p,desv_res -100p,Adf-Stats-100p,CoefAng -120p,Inters -120p,med_res -120p,desv_res -120p,Adf-Stats-120p,CoefAng -140p,Inters -140p,med_res -140p,desv_res -140p,Adf-Stats-140p,CoefAng -160p,Inters -160p,med_res -160p,desv_res -160p,Adf-Stats-160p,CoefAng -180p,Inters -180p,med_res -180p,desv_res -180p,Adf-Stats-180p,CoefAng -200p,Inters -200p,med_res -200p,desv_res -200p,Adf-Stats-200p,CoefAng -220p,Inters -220p,med_res -220p,desv_res -220p,Adf-Stats-220p,CoefAng -250p,Inters -250p,med_res -250p,desv_res -250p,Adf-Stats-250p
194,CSAN3,CPFE3,-0.04814691390427911,34.98595303369681,-3.197442310920451e-15,1.142915011274218,95,0.019228221366791302,29.1790387903495,-1.4802973661668755e-15,1.2613911836990852,95,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.07917480565155705,23.843223184907373,-3.552713678800501e-17,1.2748568754910392,95,0.061021341138384,25.371349128856863,-2.0670334131202913e-15,1.2759183426800997,95,0.09851196434511256,22.31856759261193,5.400124791776761e-16,1.3114161471032473,99
195,CSAN3,FLRY3,0,0,0,0,<90,-0.03392512040096618,29.087027076620704,-1.5987211554602255e-15,0.8052696054680134,99,-0.034202218408491254,29.130369840760853,-4.567774729886358e-16,0.8235573250721675,99,-0.045379674972892366,30.023694565976044,1.5099033134902129e-15,0.9395799354603723,99,-0.05721261079295593,30.79264966964557,-1.973729821555834e-17,1.0485376140565157,99,-0.0407830086650238,29.297099525069722,2.7000623958883807e-15,1.1556024354969865,95,-0.0043408707601219725,26.22835450285818,-5.167583532800728e-16,1.2778473478061925,95,0,0,0,0,<90
196,CSAN3,IRBR3,-0.06873526285856164,12.506118242565979,8.881784197001253e-17,0.4831957787830488,95,0,0,0,0,<90,-0.0345776245534693,9.542123893453581,2.6645352591003756e-16,0.5960525518086852,99,-0.028202956787039126,9.052565407356775,-7.549516567451064e-16,0.6325955243309859,95,-0.018615765463667753,8.398291880853469,4.3422056074228343e-16,0.6780221422217689,95,-0.03574397722563954,9.960187785405012,-1.0658141036401502e-15,0.9008292233449172,99,-0.06165593020703549,12.165137851442896,7.751375299201093e-16,1.0770419450746886,95,-0.05589727721481334,11.677596623141692,3.1263880373444406e-16,1.1238767478914347,95
197,CSAN3,JHSF3,-0.04125456596564342,10.299140353224375,4.707345624410664e-16,0.3276132999213233,99,-0.022496441270799417,8.692924715890411,-2.4424906541753446e-16,0.38648241856029286,95,-0.017003090064508255,8.221560089180567,9.70652130100851e-16,0.3850470109914124,95,-0.015055967773025987,8.078740906251713,-2.6645352591003756e-16,0.39005958689713016,99,-0.002384252897407262,7.206827981462513,-4.934324553889585e-16,0.5580400828346339,95,0,0,0,0,<90,0.02210704049692069,5.256249027170728,1.6148698540002277e-16,0.8472372015507507,95,0,0,0,0,<90
198,CSNA3,BRDT3,0,0,0,0,<90,0.08059961132475135,17.555124200427812,2.4276876805136757e-15,0.9052342263736887,95,0.08234073048754621,17.49094372552004,1.1165671561944431e-15,0.8549535786133436,95,0.05414088605552419,18.455939035505004,1.1990408665951691e-15,0.9209559863248818,95,0.040257423831917764,18.913717537567642,3.7500866609560843e-16,0.9218898174278762,95,0.030949804624022404,19.215838859097072,3.552713678800501e-16,0.9209867612636417,95,0.02529517969486873,19.398243667970508,-2.90676573720041e-16,0.9099136376628532,99,0.05958772972101044,18.36012165145754,2.4868995751603505e-15,1.179925083225988,95
199,CSNA3,CPFE3,0,0,0,0,<90,0.03583747421434038,29.620113494135722,4.736951571734001e-16,1.2434324731081554,95,0,0,0,0,<90,0.08558699809501706,27.875741116176428,8.881784197001253e-17,1.2571517244067865,95,0.06000876785278371,28.72166097786382,2.5263741715914674e-15,1.2979395384225776,95,0.06505262208247951,28.559121654918226,2.255973186038318e-15,1.2438356467693497,95,0.0539087434143685,28.91582370252304,-1.0173680080201435e-15,1.2440972279459044,99,0.08174745444462282,28.0738668328739,1.3358203432289884e-15,1.3734747856143166,99
200,CSNA3,CPLE6,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.023117613983409575,5.343700089393687,-5.939693181744587e-16,0.2853634004467064,95,0.025078940092126717,5.277453361505799,7.056084112062106e-16,0.2814318991061453,95,0.027026256646135453,5.214694157082592,-5.10702591327572e-16,0.2718910469512682,95,0.025150080146588615,5.275204719769083,-1.6956133467002392e-16,0.2665385598484806,99,0.03170247557482738,5.076389365330471,-6.821210263296962e-16,0.2957051014515826,99
201,CSNA3,ENBR3,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.06701931666452085,16.128436088540102,-5.995204332975846e-16,0.5770720564776162,95,0.06595568706047433,16.16112041559972,3.039543925195984e-15,0.5622006019707432,95,0.06630245295315833,16.150073193181203,1.3145040611561853e-15,0.5385210714884388,99,0.0654837734972269,16.177253502124202,-6.782453386800957e-16,0.5204761386342855,99,0.07942751361736068,15.753359460585116,-1.5205614545266144e-15,0.6095489273654016,99
202,CSNA3,FLRY3,0,0,0,0,<90,-0.015709407582651422,26.823311876285963,-1.2138438402568378e-15,0.838273720460143,95,-0.02371480974810538,27.106296035574967,-1.7509803131231041e-15,0.848516214047049,99,-0.016907848718888733,26.88246629541276,1.1102230246251565e-15,0.9938633042791081,99,0.015297937385791556,25.814079011615892,-8.487038232690086e-16,1.1274502555714319,95,0.033364385387396285,25.23259272961459,-1.9539925233402755e-16,1.1470300590703113,95,0.04736530996730668,24.787098174738738,-3.552713678800501e-16,1.1791445811070174,99,0.09754057003026002,23.261453982800575,-9.947598300641404e-16,1.6277180185489375,95
203,CSNA3,IRBR3,0,0,0,0,<90,0,0,0,0,<90,-0.015807459119339912,7.2569819727615945,-3.806478941571965e-16,0.6483472166143205,95,-0.014836846981253007,7.219413513261392,-5.551115123125783e-16,0.6570975586138174,95,-0.02491500836549172,7.553109940352696,6.957397620984314e-16,0.6500666370415119,95,-0.04676259616125916,8.256529829292274,4.2188474935755947e-16,0.8120517222715404,99,-0.06289854384282335,8.779568407828144,-7.065055611250996e-16,0.9852339479128007,95,-0.06173592025295385,8.740420954929636,-2.486899575160351e-16,1.0570597293679116,95
